title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2392507,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,456488,
"2001: A Space Odyssey",movie,"Adventure, Sci-Fi",1968,tt0062622,8.3,757071,
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,665833,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,148430,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1236165,
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.6,492407,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,253011,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1385421,
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,857097,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1079045,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,554247,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,842089,
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,467731,
Tron,movie,"Action, Adventure, Sci-Fi",1982,tt0084827,6.7,134920,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,107232,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11361,
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,984574,
Predator,movie,"Action, Adventure, Horror",1987,tt0093773,7.8,479973,
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,949904,
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,388459,
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,553353,
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2119701,
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1883130,
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2088655,
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,885851,
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,81240,
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,217050,
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,3036940,
"Wilbur Wants to Kill Himself",movie,"Comedy, Drama, Romance",2002,tt0329767,6.8,8178,
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,428404,
